lr,batch_size,num_layers,hidden_size,reduce_factor,test_loss
0.0001,32,6,2000,1.0,0.006208757869899273
0.0001,64,6,2000,1.0,0.006216674577444792
0.0001,128,6,2000,1.0,0.0063727484084665775
0.0001,256,6,2000,1.0,0.006317819468677044
0.0001,512,6,2000,1.0,0.006326048634946346
0.0005,32,6,2000,1.0,0.00634838966652751
0.0005,64,6,2000,1.0,0.006231796927750111
0.0005,128,6,2000,1.0,0.0063124909065663815
0.0005,256,6,2000,1.0,0.006260567810386419
0.0005,512,6,2000,1.0,0.006426313892006874
0.001,32,6,2000,1.0,0.006587880197912455
0.001,64,6,2000,1.0,0.006751147098839283
0.001,128,6,2000,1.0,0.006307543255388737
0.001,256,6,2000,1.0,0.0063281892798841
0.001,512,6,2000,1.0,0.006389416288584471
0.005,32,6,2000,1.0,0.26830407977104187
0.005,64,6,2000,1.0,0.26830407977104187
0.005,128,6,2000,1.0,0.26830407977104187
0.005,256,6,2000,1.0,0.2656276226043701
0.005,512,6,2000,1.0,0.26830407977104187
0.01,32,6,2000,1.0,0.26830407977104187
0.01,64,6,2000,1.0,0.2656276226043701
0.01,128,6,2000,1.0,0.26830407977104187
0.01,256,6,2000,1.0,0.2656276226043701
0.01,512,6,2000,1.0,0.2656276226043701
