lr,batch_size,num_layers,hidden_size,test_loss
0.0005,256,3,200,0.0065615507774055
0.0005,256,3,300,0.0065088882111012936
0.0005,256,3,400,0.006418108008801937
0.0005,256,4,50,0.006643576081842184
0.0005,256,4,100,0.006767116487026215
0.0005,256,4,200,0.00667997682467103
0.0005,256,4,300,0.0066932011395692825
0.0005,256,4,400,0.0065918006002902985
0.0005,256,5,50,0.006659124977886677
0.0005,256,5,100,0.0067879436537623405
0.0005,256,5,200,0.006536857690662146
0.0005,256,5,300,0.0064906105399131775
0.0005,256,5,400,0.006555547006428242
0.001,32,1,50,0.01701751910150051
0.001,32,1,100,0.017005555331707
0.001,32,1,200,0.017018957063555717
0.001,32,1,300,0.01701527088880539
0.001,32,1,400,0.01702146604657173
0.001,32,2,50,0.006536360364407301
0.001,32,2,100,0.006644078064709902
0.001,32,2,200,0.006822219118475914
0.001,32,2,300,0.006704984698444605
0.001,32,2,400,0.006601638626307249
0.001,32,3,50,0.006582284811884165
0.001,32,3,100,0.006821672897785902
0.001,32,3,200,0.006785318721085787
0.001,32,3,300,0.006691402290016413
0.001,32,3,400,0.006696459371596575
0.001,32,4,50,0.006731260102242231
0.001,32,4,100,0.006846078205853701
0.001,32,4,200,0.006705466657876968
0.001,32,4,300,0.00637536495923996
0.001,32,4,400,0.006493013352155685
0.001,32,5,50,0.006691907998174429
0.001,32,5,100,0.006564352661371231
0.001,32,5,200,0.00687878904864192
0.001,32,5,300,0.006848154589533806
0.001,32,5,400,0.006295232102274895
0.001,64,1,50,0.01700526662170887
0.001,64,1,100,0.0170142725110054
0.001,64,1,200,0.01700597070157528
0.001,64,1,300,0.017017122358083725
0.001,64,1,400,0.017008796334266663
0.001,64,2,50,0.006503324024379253
0.001,64,2,100,0.006590100470930338
0.001,64,2,200,0.00671318918466568
0.001,64,2,300,0.006621912587434053
0.001,64,2,400,0.006542880088090897
0.001,64,3,50,0.00659681111574173
0.001,64,3,100,0.006571181118488312
0.001,64,3,200,0.006815606262534857
0.001,64,3,300,0.006622886750847101
0.001,64,3,400,0.006802827585488558
0.001,64,4,50,0.006635227240622044
0.001,64,4,100,0.006643833592534065
