lr,batch_size,num_layers,hidden_size,reduce_factor,test_loss
0.0001,32,4,300,0.2,0.006322063505649567
0.0001,32,4,300,0.4,0.006487496197223663
0.0001,32,4,300,0.6,0.006537572015076876
0.0001,32,4,300,0.8,0.006476514041423798
0.0001,32,4,300,1.0,0.0065783546306192875
0.0001,32,4,500,0.2,0.006414034403860569
0.0001,32,4,500,0.4,0.006484542973339558
0.0001,32,4,500,0.6,0.006431490648537874
0.0001,32,4,500,0.8,0.006461859215050936
0.0001,32,4,500,1.0,0.006604802794754505
0.0001,32,4,700,0.2,0.006307397037744522
0.0001,32,4,700,0.4,0.006404816173017025
0.0001,32,4,700,0.6,0.006334985140711069
0.0001,32,4,700,0.8,0.006486954167485237
0.0001,32,4,700,1.0,0.006581761408597231
0.0001,32,4,1000,0.2,0.006319406442344189
0.0001,32,4,1000,0.4,0.006410447880625725
0.0001,32,4,1000,0.6,0.006506211590021849
0.0001,32,4,1000,0.8,0.006525829900056124
0.0001,32,4,1000,1.0,0.0064655146561563015
0.0001,32,4,1500,0.2,0.0063073718920350075
0.0001,32,4,1500,0.4,0.0063058496452867985
0.0001,32,4,1500,0.6,0.00639712018892169
0.0001,32,4,1500,0.8,0.0062810988165438175
0.0001,32,4,1500,1.0,0.0065558915957808495
0.0001,32,4,2000,0.2,0.006344481837004423
0.0001,32,4,2000,0.4,0.0063526444137096405
0.0001,32,4,2000,0.6,0.006393481977283955
0.0001,32,4,2000,0.8,0.0062868776731193066
0.0001,32,4,2000,1.0,0.00634419359266758
0.0001,32,5,300,0.2,0.006483302917331457
0.0001,32,5,300,0.4,0.00656118243932724
0.0001,32,5,300,0.6,0.006509690545499325
0.0001,32,5,300,0.8,0.006575244944542646
0.0001,32,5,300,1.0,0.006549215875566006
0.0001,32,5,500,0.2,0.006418087054044008
0.0001,32,5,500,0.4,0.006467163562774658
0.0001,32,5,500,0.6,0.006451274733990431
0.0001,32,5,500,0.8,0.006442832760512829
0.0001,32,5,500,1.0,0.006559949368238449
0.0001,32,5,700,0.2,0.006412088871002197
0.0001,32,5,700,0.4,0.006454943213611841
0.0001,32,5,700,0.6,0.0064381882548332214
0.0001,32,5,700,0.8,0.006385374814271927
0.0001,32,5,700,1.0,0.006428769323974848
0.0001,32,5,1000,0.2,0.0063644228503108025
0.0001,32,5,1000,0.4,0.006401753518730402
0.0001,32,5,1000,0.6,0.0065093738958239555
0.0001,32,5,1000,0.8,0.006343458313494921
0.0001,32,5,1000,1.0,0.00632954016327858
0.0001,32,5,1500,0.2,0.006319272797554731
0.0001,32,5,1500,0.4,0.0062981159426271915
0.0001,32,5,1500,0.6,0.006196924950927496
0.0001,32,5,1500,0.8,0.0062409923411905766
0.0001,32,5,1500,1.0,0.0064468407072126865
0.0001,32,5,2000,0.2,0.006322487257421017
0.0001,32,5,2000,0.4,0.006304307375103235
0.0001,32,5,2000,0.6,0.006296276114881039
0.0001,32,5,2000,0.8,0.006242392584681511
0.0001,32,5,2000,1.0,0.006364939734339714
0.0001,32,6,300,0.2,0.015055152587592602
