lr,batch_size,num_layers,hidden_size,reduction_factor,test_loss
0.0001,256,7,1000,1.0,0.021990131586790085
0.0001,256,7,1200,0.2,0.03930377960205078
0.0001,256,7,1200,0.4,0.021761640906333923
0.0001,256,7,1200,0.6,0.022273655980825424
0.0001,256,7,1200,0.8,0.021912438794970512
0.0001,256,7,1200,1.0,0.022400440648198128
0.0001,256,8,600,0.2,0.06793169677257538
0.0001,256,8,600,0.4,0.028480982407927513
0.0001,256,8,600,0.6,0.021809708327054977
0.0001,256,8,600,0.8,0.022145207971334457
0.0001,256,8,600,1.0,0.02270643040537834
0.0001,256,8,800,0.2,0.08551592379808426
0.0001,256,8,800,0.4,0.02234586700797081
0.0001,256,8,800,0.6,0.02223202958703041
0.0001,256,8,800,0.8,0.02233152836561203
0.0001,256,8,800,1.0,0.022314023226499557
0.0001,256,8,1000,0.2,0.06464555114507675
0.0001,256,8,1000,0.4,0.0221309382468462
0.0001,256,8,1000,0.6,0.021908270195126534
0.0001,256,8,1000,0.8,0.02174321748316288
0.0001,256,8,1000,1.0,0.022182853892445564
0.0001,256,8,1200,0.2,0.07211703062057495
0.0001,256,8,1200,0.4,0.02212420105934143
0.0001,256,8,1200,0.6,0.022093890234827995
0.0001,256,8,1200,0.8,0.022056011483073235
0.0001,256,8,1200,1.0,0.022039251402020454
0.0001,512,4,600,0.2,0.02340356633067131
0.0001,512,4,600,0.4,0.02232534810900688
0.0001,512,4,600,0.6,0.02218667045235634
0.0001,512,4,600,0.8,0.02243584580719471
0.0001,512,4,600,1.0,0.022053251042962074
0.0001,512,4,800,0.2,0.022284235805273056
0.0001,512,4,800,0.4,0.02186095528304577
0.0001,512,4,800,0.6,0.022045494988560677
0.0001,512,4,800,0.8,0.021969404071569443
0.0001,512,4,800,1.0,0.02218460850417614
0.0001,512,4,1000,0.2,0.021833959966897964
0.0001,512,4,1000,0.4,0.02205880731344223
0.0001,512,4,1000,0.6,0.021864084526896477
0.0001,512,4,1000,0.8,0.022032693028450012
0.0001,512,4,1000,1.0,0.022244883701205254
0.0001,512,4,1200,0.2,0.022256817668676376
0.0001,512,4,1200,0.4,0.02163872681558132
0.0001,512,4,1200,0.6,0.0219272393733263
0.0001,512,4,1200,0.8,0.022123537957668304
0.0001,512,4,1200,1.0,0.022008948028087616
0.0001,512,5,600,0.2,0.02682635933160782
0.0001,512,5,600,0.4,0.022070707753300667
0.0001,512,5,600,0.6,0.022051667794585228
0.0001,512,5,600,0.8,0.022064892575144768
0.0001,512,5,600,1.0,0.02213560789823532
0.0001,512,5,800,0.2,0.025223160162568092
0.0001,512,5,800,0.4,0.02197468839585781
0.0001,512,5,800,0.6,0.022074652835726738
0.0001,512,5,800,0.8,0.021857967600226402
0.0001,512,5,800,1.0,0.022056084126234055
0.0001,512,5,1000,0.2,0.02225552499294281
0.0001,512,5,1000,0.4,0.02192929945886135
0.0001,512,5,1000,0.6,0.021705996245145798
0.0001,512,5,1000,0.8,0.02178136631846428
0.0001,512,5,1000,1.0,0.021768026053905487
0.0001,512,5,1200,0.2,0.022396039217710495
0.0001,512,5,1200,0.4,0.021949000656604767
0.0001,512,5,1200,0.6,0.021830616518855095
0.0001,512,5,1200,0.8,0.02187309041619301
0.0001,512,5,1200,1.0,0.021821746602654457
0.0001,512,6,600,0.2,0.03037634678184986
0.0001,512,6,600,0.4,0.022181101143360138
0.0001,512,6,600,0.6,0.022425184026360512
0.0001,512,6,600,0.8,0.021970167756080627
0.0001,512,6,600,1.0,0.02235802821815014
0.0001,512,6,800,0.2,0.05166066437959671
0.0001,512,6,800,0.4,0.02208673395216465
0.0001,512,6,800,0.6,0.02214878797531128
0.0001,512,6,800,0.8,0.022404376417398453
0.0001,512,6,800,1.0,0.022188695147633553
0.0001,512,6,1000,0.2,0.07038279622793198
0.0001,512,6,1000,0.4,0.022242924198508263
0.0001,512,6,1000,0.6,0.02198905497789383
0.0001,512,6,1000,0.8,0.021864373236894608
0.0001,512,6,1000,1.0,0.021891647949814796
0.0001,512,6,1200,0.2,0.022949835285544395
0.0001,512,6,1200,0.4,0.022003619000315666
0.0001,512,6,1200,0.6,0.021601952612400055
0.0001,512,6,1200,0.8,0.021801918745040894
0.0001,512,6,1200,1.0,0.02184799313545227
0.0001,512,7,600,0.2,0.053647030144929886
0.0001,512,7,600,0.4,0.023535696789622307
0.0001,512,7,600,0.6,0.0224831011146307
0.0001,512,7,600,0.8,0.02215096540749073
0.0001,512,7,600,1.0,0.022462572902441025
0.0001,512,7,800,0.2,0.08261428028345108
0.0001,512,7,800,0.4,0.022047877311706543
0.0001,512,7,800,0.6,0.022148791700601578
0.0001,512,7,800,0.8,0.022055912762880325
0.0001,512,7,800,1.0,0.022431526333093643
0.0001,512,7,1000,0.2,0.12532491981983185
0.0001,512,7,1000,0.4,0.021940505132079124
0.0001,512,7,1000,0.6,0.021807774901390076
0.0001,512,7,1000,0.8,0.021700669080018997
0.0001,512,7,1000,1.0,0.021790627390146255
0.0001,512,7,1200,0.2,0.06498812139034271
0.0001,512,7,1200,0.4,0.021685753017663956
0.0001,512,7,1200,0.6,0.02182615175843239
0.0001,512,7,1200,0.8,0.021722596138715744
0.0001,512,7,1200,1.0,0.021628081798553467
0.0001,512,8,600,0.2,0.05418429151177406
0.0001,512,8,600,0.4,0.08324383944272995
0.0001,512,8,600,0.6,0.022281741723418236
0.0001,512,8,600,0.8,0.022295599803328514
0.0001,512,8,600,1.0,0.022634103894233704
0.0001,512,8,800,0.2,0.08406712859869003
0.0001,512,8,800,0.4,0.026561187580227852
0.0001,512,8,800,0.6,0.022051487118005753
0.0001,512,8,800,0.8,0.022104734554886818
0.0001,512,8,800,1.0,0.02281768247485161
0.0001,512,8,1000,0.2,0.08936162292957306
0.0001,512,8,1000,0.4,0.032116711139678955
0.0001,512,8,1000,0.6,0.021704910323023796
0.0001,512,8,1000,0.8,0.02221769466996193
0.0001,512,8,1000,1.0,0.02243874967098236
0.0001,512,8,1200,0.2,0.07835704833269119
0.0001,512,8,1200,0.4,0.021871821954846382
0.0001,512,8,1200,0.6,0.021649837493896484
0.0001,512,8,1200,0.8,0.021647313609719276
0.0001,512,8,1200,1.0,0.022184519097208977
