lr,batch_size,num_layers,hidden_size,reduce_factor,test_loss
0.0001,32,3,300,0.2,0.006590254604816437
0.0001,32,3,300,0.4,0.006509787868708372
0.0001,32,3,300,0.6,0.0064745075069367886
0.0001,32,3,300,0.8,0.006495456676930189
0.0001,32,3,300,1.0,0.006480017211288214
0.0001,32,3,400,0.2,0.0065066032111644745
0.0001,32,3,400,0.4,0.006448955275118351
0.0001,32,3,400,0.6,0.006472697947174311
0.0001,32,3,400,0.8,0.006491081323474646
0.0001,32,3,400,1.0,0.006429515779018402
0.0001,32,3,500,0.2,0.006438576150685549
0.0001,32,3,500,0.4,0.006545132026076317
0.0001,32,3,500,0.6,0.00642756000161171
0.0001,32,3,500,0.8,0.006477681454271078
0.0001,32,3,500,1.0,0.00645210687071085
0.0001,32,3,700,0.2,0.006453990936279297
0.0001,32,3,700,0.4,0.006382578052580357
0.0001,32,3,700,0.6,0.006530093494802713
0.0001,32,3,700,0.8,0.006485051475465298
0.0001,32,3,700,1.0,0.006411044858396053
0.0001,32,3,1000,0.2,0.00637952471151948
0.0001,32,3,1000,0.4,0.006453386042267084
0.0001,32,3,1000,0.6,0.006439635995775461
0.0001,32,3,1000,0.8,0.006467841565608978
0.0001,32,3,1000,1.0,0.006449562497437
0.0001,32,3,1500,0.2,0.006449346896260977
0.0001,32,3,1500,0.4,0.00647402461618185
0.0001,32,3,1500,0.6,0.006507250480353832
0.0001,32,3,1500,0.8,0.0064809201285243034
0.0001,32,3,1500,1.0,0.006542452611029148
0.0001,32,4,300,0.2,0.006457008421421051
0.0001,32,4,300,0.4,0.00644712196663022
0.0001,32,4,300,0.6,0.006508672144263983
0.0001,32,4,300,0.8,0.006517328787595034
0.0001,32,4,300,1.0,0.006469246931374073
0.0001,32,4,400,0.2,0.0064201015047729015
0.0001,32,4,400,0.4,0.006505274213850498
0.0001,32,4,400,0.6,0.00651846919208765
0.0001,32,4,400,0.8,0.006569337099790573
0.0001,32,4,400,1.0,0.006544522475451231
0.0001,32,4,500,0.2,0.00638691196218133
0.0001,32,4,500,0.4,0.006488972343504429
0.0001,32,4,500,0.6,0.006520082242786884
0.0001,32,4,500,0.8,0.006473300978541374
0.0001,32,4,500,1.0,0.006416430231183767
0.0001,32,4,700,0.2,0.006391053553670645
0.0001,32,4,700,0.4,0.006469608284533024
0.0001,32,4,700,0.6,0.006430576089769602
0.0001,32,4,700,0.8,0.006456735543906689
0.0001,32,4,700,1.0,0.006505306344479322
0.0001,32,4,1000,0.2,0.006482682656496763
0.0001,32,4,1000,0.4,0.006455390714108944
0.0001,32,4,1000,0.6,0.0064152260310947895
0.0001,32,4,1000,0.8,0.006427018437534571
0.0001,32,4,1000,1.0,0.006413402035832405
0.0001,32,4,1500,0.2,0.006395123898983002
0.0001,32,4,1500,0.4,0.006489044986665249
0.0001,32,4,1500,0.6,0.006366146728396416
0.0001,32,4,1500,0.8,0.0063573503866791725
0.0001,32,4,1500,1.0,0.006405682303011417
0.0001,32,5,300,0.2,0.006505313795059919
0.0001,32,5,300,0.4,0.0064532700926065445
0.0001,32,5,300,0.6,0.006403119303286076
0.0001,32,5,300,0.8,0.0064076450653374195
0.0001,32,5,300,1.0,0.0065405890345573425
0.0001,32,5,400,0.2,0.00644910940900445
0.0001,32,5,400,0.4,0.006435770075768232
0.0001,32,5,400,0.6,0.006542262155562639
0.0001,32,5,400,0.8,0.006486471742391586
0.0001,32,5,400,1.0,0.0064594801515340805
0.0001,32,5,500,0.2,0.0063818166963756084
0.0001,32,5,500,0.4,0.00652318587526679
0.0001,32,5,500,0.6,0.006389689166098833
0.0001,32,5,500,0.8,0.006384475622326136
0.0001,32,5,500,1.0,0.00651455158367753
0.0001,32,5,700,0.2,0.006765936966985464
0.0001,32,5,700,0.4,0.006417243741452694
0.0001,32,5,700,0.6,0.006333365570753813
0.0001,32,5,700,0.8,0.006571587640792131
0.0001,32,5,700,1.0,0.006448793224990368
0.0001,32,5,1000,0.2,0.00640386575832963
0.0001,32,5,1000,0.4,0.006448420695960522
0.0001,32,5,1000,0.6,0.006435768213123083
0.0001,32,5,1000,0.8,0.006372830830514431
0.0001,32,5,1000,1.0,0.006393770221620798
0.0001,32,5,1500,0.2,0.006406438071280718
0.0001,32,5,1500,0.4,0.006320483982563019
0.0001,32,5,1500,0.6,0.006331710610538721
0.0001,32,5,1500,0.8,0.006295223254710436
0.0001,32,5,1500,1.0,0.006519291549921036
0.0001,32,6,300,0.2,0.016972515732049942
0.0001,32,6,300,0.4,0.008229026570916176
0.0001,32,6,300,0.6,0.006710563786327839
0.0001,32,6,300,0.8,0.006421255879104137
0.0001,32,6,300,1.0,0.006599792279303074
