lr,batch_size,num_layers,hidden_size,reduce_factor,test_loss
0.0001,32,4,300,0.2,0.006477258168160915
0.0001,32,4,300,0.4,0.006493097171187401
0.0001,32,4,300,0.6,0.006432509049773216
0.0001,32,4,300,0.8,0.006557120010256767
0.0001,32,4,300,1.0,0.006518206093460321
0.0001,32,4,500,0.2,0.006434411276131868
0.0001,32,4,500,0.4,0.006387529894709587
0.0001,32,4,500,0.6,0.006430573761463165
0.0001,32,4,500,0.8,0.006466373335570097
0.0001,32,4,500,1.0,0.0065000164322555065
0.0001,32,4,700,0.2,0.006426929961889982
0.0001,32,4,700,0.4,0.0063766236416995525
0.0001,32,4,700,0.6,0.0064351363107562065
0.0001,32,4,700,0.8,0.006411890499293804
0.0001,32,4,700,1.0,0.006433455273509026
0.0001,32,4,1000,0.2,0.006459068041294813
0.0001,32,4,1000,0.4,0.006405165418982506
0.0001,32,4,1000,0.6,0.006398777011781931
0.0001,32,4,1000,0.8,0.006337785627692938
0.0001,32,4,1000,1.0,0.00651951041072607
0.0001,32,4,1500,0.2,0.006318902131170034
0.0001,32,4,1500,0.4,0.00635390542447567
0.0001,32,4,1500,0.6,0.006365779787302017
0.0001,32,4,1500,0.8,0.006358724553138018
0.0001,32,4,1500,1.0,0.0063390666618943214
0.0001,32,4,2000,0.2,0.006244524382054806
0.0001,32,4,2000,0.4,0.006300752051174641
0.0001,32,4,2000,0.6,0.006375723518431187
0.0001,32,4,2000,0.8,0.006404323503375053
0.0001,32,4,2000,1.0,0.00636720098555088
0.0001,32,4,3000,0.2,0.006433708127588034
0.0001,32,4,3000,0.4,0.0062675317749381065
0.0001,32,4,3000,0.6,0.006283720023930073
0.0001,32,4,3000,0.8,0.006267390679568052
