lr,batch_size,num_layers,hidden_size,test_loss
0.001,128,3,500,0.0229637511074543
0.001,128,4,50,0.022914057597517967
0.001,128,4,100,0.02271931618452072
0.001,128,4,200,0.023231038823723793
0.001,128,4,300,0.023524291813373566
0.001,128,4,400,0.02283148653805256
0.001,128,4,500,0.02319145016372204
0.001,128,5,50,0.023015066981315613
0.001,128,5,100,0.023437201976776123
0.001,128,5,200,0.022651128470897675
0.001,128,5,300,0.022634511813521385
0.001,128,5,400,0.022855639457702637
0.001,128,5,500,0.02261699177324772
0.001,256,1,50,0.06415186077356339
0.001,256,1,100,0.06411318480968475
0.001,256,1,200,0.06413616985082626
0.001,256,1,300,0.06399933248758316
0.001,256,1,400,0.06402773410081863
0.001,256,1,500,0.06403066217899323
0.001,256,2,50,0.02484465390443802
0.001,256,2,100,0.023433595895767212
0.001,256,2,200,0.022480014711618423
0.001,256,2,300,0.02237240970134735
0.001,256,2,400,0.02267879620194435
0.001,256,2,500,0.022490451112389565
0.001,256,3,50,0.02277250960469246
0.001,256,3,100,0.022585762664675713
0.001,256,3,200,0.022699085995554924
0.001,256,3,300,0.022778257727622986
0.001,256,3,400,0.02254001423716545
0.001,256,3,500,0.02256031706929207
0.001,256,4,50,0.023016303777694702
0.001,256,4,100,0.022733742371201515
0.001,256,4,200,0.023151179775595665
0.001,256,4,300,0.0229044146835804
0.001,256,4,400,0.02313622459769249
0.001,256,4,500,0.02318110130727291
0.001,256,5,50,0.02322249673306942
0.001,256,5,100,0.023297103121876717
0.001,256,5,200,0.022785259410738945
0.001,256,5,300,0.023500103503465652
0.001,256,5,400,0.02225853130221367
0.001,256,5,500,0.022553982213139534
0.01,32,1,50,0.06400474160909653
0.01,32,1,100,0.06403777003288269
0.01,32,1,200,0.06397489458322525
0.01,32,1,300,0.06421252340078354
0.01,32,1,400,0.06406938284635544
0.01,32,1,500,0.06412455439567566
0.01,32,2,50,0.02409314177930355
0.01,32,2,100,0.024363789707422256
0.01,32,2,200,0.024145737290382385
0.01,32,2,300,0.023740628734230995
0.01,32,2,400,0.023864908143877983
0.01,32,2,500,0.023793021216988564
0.01,32,3,50,0.023711208254098892
0.01,32,3,100,0.024562343955039978
0.01,32,3,200,0.023360703140497208
0.01,32,3,300,0.02403077483177185
0.01,32,3,400,0.023247044533491135
0.01,32,3,500,0.024473030120134354
0.01,32,4,50,0.02340768463909626
0.01,32,4,100,0.02342679165303707
0.01,32,4,200,0.02367386780679226
0.01,32,4,300,0.02354833111166954
0.01,32,4,400,0.023948654532432556
0.01,32,4,500,0.3420560359954834
0.01,32,5,50,0.023509783670306206
0.01,32,5,100,0.023105338215827942
0.01,32,5,200,0.02401469647884369
0.01,32,5,300,0.0241867508739233
0.01,32,5,400,0.02408684231340885
0.01,32,5,500,0.2882978022098541
0.01,64,1,50,0.06389221549034119
0.01,64,1,100,0.06393509358167648
0.01,64,1,200,0.06409747153520584
0.01,64,1,300,0.06415104120969772
0.01,64,1,400,0.064021036028862
0.01,64,1,500,0.06402473896741867
0.01,64,2,50,0.023873863741755486
0.01,64,2,100,0.02344108559191227
0.01,64,2,200,0.023859355598688126
0.01,64,2,300,0.023972973227500916
0.01,64,2,400,0.024490220472216606
0.01,64,2,500,0.02403775230050087
0.01,64,3,50,0.02350924164056778
0.01,64,3,100,0.0236088614910841
0.01,64,3,200,0.023967845365405083
0.01,64,3,300,0.02417655475437641
0.01,64,3,400,0.024088656529784203
0.01,64,3,500,0.023263221606612206
0.01,64,4,50,0.023480622097849846
0.01,64,4,100,0.024238087236881256
0.01,64,4,200,0.023268502205610275
0.01,64,4,300,0.02450464479625225
0.01,64,4,400,0.023729922249913216
0.01,64,4,500,0.3420560359954834
0.01,64,5,50,0.023220021277666092
0.01,64,5,100,0.023558462038636208
0.01,64,5,200,0.023957254365086555
0.01,64,5,300,0.02359573356807232
0.01,64,5,400,0.02347595989704132
0.01,64,5,500,0.023111173883080482
0.01,128,1,50,0.06395979970693588
0.01,128,1,100,0.06405361741781235
0.01,128,1,200,0.06409058719873428
0.01,128,1,300,0.0640871450304985
0.01,128,1,400,0.06400508433580399
0.01,128,1,500,0.06405263394117355
0.01,128,2,50,0.0228726789355278
0.01,128,2,100,0.023242907598614693
0.01,128,2,200,0.024306710809469223
0.01,128,2,300,0.023770956322550774
0.01,128,2,400,0.0232386514544487
0.01,128,2,500,0.0243585966527462
0.01,128,3,50,0.02332950383424759
0.01,128,3,100,0.023753412067890167
0.01,128,3,200,0.024309445172548294
0.01,128,3,300,0.023843904957175255
0.01,128,3,400,0.023756537586450577
0.01,128,3,500,0.023454729467630386
0.01,128,4,50,0.023729123175144196
0.01,128,4,100,0.023228660225868225
0.01,128,4,200,0.023203572258353233
0.01,128,4,300,0.023320510983467102
0.01,128,4,400,0.023262279108166695
0.01,128,4,500,0.024050815030932426
0.01,128,5,50,0.022837303578853607
0.01,128,5,100,0.02375555969774723
0.01,128,5,200,0.023792505264282227
0.01,128,5,300,0.023823663592338562
0.01,128,5,400,0.023472942411899567
0.01,128,5,500,0.2882978022098541
0.01,256,1,50,0.06404560804367065
0.01,256,1,100,0.0639161542057991
0.01,256,1,200,0.06403374671936035
0.01,256,1,300,0.06405799090862274
0.01,256,1,400,0.06406191736459732
0.01,256,1,500,0.06400373578071594
0.01,256,2,50,0.023687448352575302
0.01,256,2,100,0.02322555147111416
0.01,256,2,200,0.023669004440307617
0.01,256,2,300,0.023211073130369186
0.01,256,2,400,0.023266660049557686
0.01,256,2,500,0.023520464077591896
0.01,256,3,50,0.02295668050646782
0.01,256,3,100,0.02366401068866253
0.01,256,3,200,0.02401816099882126
0.01,256,3,300,0.023142000660300255
0.01,256,3,400,0.02366160973906517
0.01,256,3,500,0.023401444777846336
0.01,256,4,50,0.023589450865983963
0.01,256,4,100,0.023791922256350517
0.01,256,4,200,0.024290023371577263
0.01,256,4,300,0.02393997088074684
0.01,256,4,400,0.024142129346728325
0.01,256,4,500,0.2882978022098541
0.01,256,5,50,0.022878961637616158
0.01,256,5,100,0.02365713007748127
0.01,256,5,200,0.024120094254612923
0.01,256,5,300,0.024730302393436432
0.01,256,5,400,0.02492797188460827
0.01,256,5,500,0.3420560359954834
0.01,32,1,50,0.06412405520677567
0.01,32,1,100,0.06419643759727478
0.01,32,1,200,0.0641259178519249
0.01,32,1,300,0.06423419713973999
0.01,32,1,400,0.06411559879779816
0.01,32,1,500,0.06415364146232605
0.01,32,2,50,0.02339695207774639
0.01,32,2,100,0.02416362799704075
0.01,32,2,200,0.024000994861125946
0.01,32,2,300,0.023857874795794487
0.01,32,2,400,0.023679504171013832
0.01,32,2,500,0.02383183129131794
0.01,32,3,50,0.023371929302811623
0.01,32,3,100,0.02362940087914467
0.01,32,3,200,0.02369306981563568
0.01,32,3,300,0.024004768580198288
0.01,32,3,400,0.023830916732549667
0.01,32,3,500,0.023631995543837547
0.01,32,4,50,0.023348994553089142
0.01,32,4,100,0.022864308208227158
0.01,32,4,200,0.02458604797720909
0.01,32,4,300,0.023720979690551758
0.01,32,4,400,0.023936880752444267
0.01,32,4,500,0.023690491914749146
0.01,32,5,50,0.02354651875793934
0.01,32,5,100,0.023663736879825592
0.01,32,5,200,0.024625876918435097
0.01,32,5,300,0.023528490215539932
0.01,32,5,400,0.02423032931983471
0.01,32,5,500,0.3420560359954834
0.01,64,1,50,0.06407253444194794
0.01,64,1,100,0.06405792385339737
0.01,64,1,200,0.06401898711919785
0.01,64,1,300,0.06399507075548172
