lr,batch_size,num_layers,hidden_size,dropout_rate,init,test_loss
1e-05,32,4,50,0.5,xavier,0.04746132716536522
1e-05,32,4,100,0.2,he,0.043056126683950424
1e-05,32,4,100,0.2,xavier,0.042359691113233566
1e-05,32,4,100,0.3,he,0.046728428453207016
1e-05,32,4,100,0.3,xavier,0.043785128742456436
1e-05,32,4,100,0.4,he,0.04600648581981659
1e-05,32,4,100,0.4,xavier,0.04490788280963898
1e-05,32,4,100,0.5,he,0.045789267867803574
1e-05,32,4,100,0.5,xavier,0.04337562248110771
1e-05,32,4,200,0.2,he,0.036366138607263565
1e-05,32,4,200,0.2,xavier,0.0342123806476593
1e-05,32,4,200,0.3,he,0.042545441538095474
1e-05,32,4,200,0.3,xavier,0.03925922513008118
1e-05,32,4,200,0.4,he,0.042942047119140625
1e-05,32,4,200,0.4,xavier,0.04088962823152542
1e-05,32,4,200,0.5,he,0.0428292416036129
1e-05,32,4,200,0.5,xavier,0.04389578476548195
1e-05,32,4,300,0.2,he,0.03297867625951767
1e-05,32,4,300,0.2,xavier,0.028054682537913322
1e-05,32,4,300,0.3,he,0.036222413182258606
1e-05,32,4,300,0.3,xavier,0.034088876098394394
1e-05,32,4,300,0.4,he,0.0405963733792305
1e-05,32,4,300,0.4,xavier,0.03909042477607727
1e-05,32,4,300,0.5,he,0.04434668645262718
1e-05,32,4,300,0.5,xavier,0.04154977202415466
1e-05,32,4,400,0.2,he,0.027504591271281242
1e-05,32,4,400,0.2,xavier,0.02373410575091839
1e-05,32,4,400,0.3,he,0.034445952624082565
1e-05,32,4,400,0.3,xavier,0.02909642644226551
1e-05,32,4,400,0.4,he,0.03839787468314171
1e-05,32,4,400,0.4,xavier,0.03403483331203461
1e-05,32,4,400,0.5,he,0.04031812772154808
1e-05,32,4,400,0.5,xavier,0.039031606167554855
1e-05,32,4,500,0.2,he,0.024035369977355003
1e-05,32,4,500,0.2,xavier,0.020110871642827988
1e-05,32,4,500,0.3,he,0.029243454337120056
1e-05,32,4,500,0.3,xavier,0.025277329608798027
1e-05,32,4,500,0.4,he,0.03490306809544563
1e-05,32,4,500,0.4,xavier,0.029998918995261192
1e-05,32,4,500,0.5,he,0.038812197744846344
1e-05,32,4,500,0.5,xavier,0.03656024858355522
1e-05,32,5,50,0.2,he,0.04616691172122955
1e-05,32,5,50,0.2,xavier,0.04656321182847023
1e-05,32,5,50,0.3,he,0.04555999115109444
1e-05,32,5,50,0.3,xavier,0.04484754800796509
1e-05,32,5,50,0.4,he,0.04709337651729584
1e-05,32,5,50,0.4,xavier,0.04512615129351616
1e-05,32,5,50,0.5,he,0.04571099579334259
1e-05,32,5,50,0.5,xavier,0.04419223964214325
1e-05,32,5,100,0.2,he,0.045940302312374115
1e-05,32,5,100,0.2,xavier,0.04700016602873802
1e-05,32,5,100,0.3,he,0.04618844389915466
1e-05,32,5,100,0.3,xavier,0.047063447535037994
1e-05,32,5,100,0.4,he,0.04605793580412865
1e-05,32,5,100,0.4,xavier,0.04580530896782875
1e-05,32,5,100,0.5,he,0.04528211057186127
1e-05,32,5,100,0.5,xavier,0.04460456967353821
1e-05,32,5,200,0.2,he,0.03963620588183403
1e-05,32,5,200,0.2,xavier,0.03883219137787819
1e-05,32,5,200,0.3,he,0.04314454644918442
1e-05,32,5,200,0.3,xavier,0.04082304239273071
1e-05,32,5,200,0.4,he,0.043068353086709976
1e-05,32,5,200,0.4,xavier,0.04330335557460785
1e-05,32,5,200,0.5,he,0.044622499495744705
1e-05,32,5,200,0.5,xavier,0.04389055445790291
1e-05,32,5,300,0.2,he,0.03599383309483528
1e-05,32,5,300,0.2,xavier,0.034123461693525314
1e-05,32,5,300,0.3,he,0.03992754593491554
