id,lr,batch_size,num_layers,hidden_size,min_test_loss
54,0.0001,64,4,500,0.01583947241306305
55,0.0001,64,5,50,0.015952052548527718
56,0.0001,64,5,100,0.015661800280213356
57,0.0001,64,5,200,0.015863485634326935
58,0.0001,64,5,300,0.015796473249793053
59,0.0001,64,5,400,0.015723377466201782
60,0.0001,64,5,500,0.016267528757452965
61,0.0001,128,1,50,0.04404110834002495
62,0.0001,128,1,100,0.044523872435092926
63,0.0001,128,1,200,0.04408661276102066
64,0.0001,128,1,300,0.044700320810079575
65,0.0001,128,1,400,0.044358283281326294
66,0.0001,128,1,500,0.044288262724876404
67,0.0001,128,2,50,0.04113144800066948
68,0.0001,128,2,100,0.04079544171690941
69,0.0001,128,2,200,0.036745887249708176
70,0.0001,128,2,300,0.0346260666847229
71,0.0001,128,2,400,0.032289210706949234
72,0.0001,128,2,500,0.0299842432141304
73,0.0001,128,3,50,0.026539545506238937
74,0.0001,128,3,100,0.02132095955312252
75,0.0001,128,3,200,0.015876764431595802
76,0.0001,128,3,300,0.015856005251407623
77,0.0001,128,3,400,0.015818245708942413
78,0.0001,128,3,500,0.015978660434484482
79,0.0001,128,4,50,0.017934156581759453
80,0.0001,128,4,100,0.0163725633174181
81,0.0001,128,4,200,0.016100987792015076
82,0.0001,128,4,300,0.015896784141659737
83,0.0001,128,4,400,0.015884587541222572
84,0.0001,128,4,500,0.01574728451669216
85,0.0001,128,5,50,0.01655791513621807
86,0.0001,128,5,100,0.0161269623786211
87,0.0001,128,5,200,0.015956779941916466
88,0.0001,128,5,300,0.015994718298316002
89,0.0001,128,5,400,0.016199477016925812
90,0.0001,128,5,500,0.015917537733912468
91,0.0001,256,1,50,0.04472228139638901
92,0.0001,256,1,100,0.04462028667330742
93,0.0001,256,1,200,0.044617149978876114
94,0.0001,256,1,300,0.044240355491638184
95,0.0001,256,1,400,0.04439697414636612
96,0.0001,256,1,500,0.0444735549390316
97,0.0001,256,2,50,0.04279659315943718
98,0.0001,256,2,100,0.042593568563461304
99,0.0001,256,2,200,0.04141024500131607
100,0.0001,256,2,300,0.040411487221717834
101,0.0001,256,2,400,0.039475277066230774
102,0.0001,256,2,500,0.038543421775102615
103,0.0001,256,3,50,0.04098667949438095
104,0.0001,256,3,100,0.026853272691369057
105,0.0001,256,3,200,0.018728841096162796
106,0.0001,256,3,300,0.01629709266126156
107,0.0001,256,3,400,0.015759821981191635
108,0.0001,256,3,500,0.016038544476032257
109,0.0001,256,4,50,0.031029047444462776
110,0.0001,256,4,100,0.01723947376012802
111,0.0001,256,4,200,0.016309643164277077
112,0.0001,256,4,300,0.016037728637456894
113,0.0001,256,4,400,0.016116119921207428
114,0.0001,256,4,500,0.01603057235479355
115,0.0001,256,5,50,0.021795744076371193
116,0.0001,256,5,100,0.016272418200969696
117,0.0001,256,5,200,0.015871839597821236
118,0.0001,256,5,300,0.016160719096660614
